chr1	67000000	68000000
chr2	196000000	197000000
chr3	150000000	151000000
chr4	88000000	89000000
chr5	108000000	109000000
chr6	165000000	166000000
chr7	107000000	108000000
chr8	71000000	72000000
chr9	113000000	114000000
chr10	65000000	66000000
chr11	39000000	40000000
chr12	66000000	67000000
chr13	49000000	50000000
chr14	45000000	46000000
chr15	82000000	83000000
chr16	59000000	60000000
chr17	67000000	68000000
chr18	67000000	68000000
chr19	31000000	32000000
chr20	14000000	15000000
chr21	25000000	26000000
chr22	28000000	29000000
